Student_ID,Gender,Department,Study_Hours,Attendance,Assignment_Score,Internal_Marks,Final_Marks,Pass
1,Male,CS,7,72,60,54,64,Yes
2,Male,EXTC,7,89,50,77,82,Yes
3,Male,CS,2,68,59,72,57,Yes
4,Male,EXTC,3,96,89,74,60,Yes
5,Male,IT,6,72,45,88,79,Yes
6,Female,IT,4,64,58,88,72,Yes
7,Male,CS,5,61,67,62,66,Yes
8,Female,CS,7,84,79,47,64,Yes
9,Male,EXTC,4,95,84,63,61,Yes
10,Male,EXTC,2,57,87,54,41,No
11,Male,CS,8,61,69,57,76,Yes
12,Female,CS,4,77,58,82,68,Yes
13,Male,EXTC,7,65,79,86,84,Yes
14,Male,IT,5,72,85,84,78,Yes
15,Male,EXTC,4,58,59,42,45,No
16,Female,IT,2,68,81,85,61,Yes
17,Male,EXTC,5,80,86,69,63,Yes
18,Female,CS,3,90,79,56,52,Yes
19,Female,EXTC,5,78,59,48,56,Yes
20,Female,CS,8,58,52,49,74,Yes
21,Male,EXTC,5,93,49,64,64,Yes
22,Female,EXTC,4,90,45,83,65,Yes
23,Female,EXTC,4,62,63,67,57,Yes
24,Female,CS,7,71,77,88,84,Yes
25,Male,EXTC,4,95,77,78,64,Yes
26,Male,IT,8,65,79,89,96,Yes
27,Male,EXTC,4,86,46,47,48,No
28,Female,CS,2,70,81,45,33,No
29,Female,CS,8,89,94,48,65,Yes
30,Female,EXTC,3,71,78,78,62,Yes
