Student_ID,Department,Gender,Year,Attendance_Percentage,Study_Hours_per_Day,Part_Time_Job,Health_Issues,Distance_from_College_km,Internet_Usage_Hours,Participation_in_Activities,CGPA
CS001,CS,Male,1,78,3,No,No,5,4,Yes,7.1
CS002,IT,Female,2,85,4,No,No,8,5,Yes,8.2
CS003,CS,Male,3,62,2,Yes,Yes,15,6,No,6.5
CS004,IT,Female,4,91,5,No,No,3,3,Yes,8.8
CS005,CS,Male,2,74,3,Yes,No,12,7,No,7.0
CS006,CS,Female,1,88,4,No,No,6,4,Yes,8.5
CS007,IT,Male,3,69,2,Yes,Yes,18,8,No,6.8
CS008,CS,Female,4,95,6,No,No,2,3,Yes,9.1
CS009,IT,Male,2,81,3,No,No,10,5,Yes,7.6
CS010,CS,Female,3,72,3,Yes,No,14,6,No,7.2
CS011,IT,Male,1,84,4,No,No,7,4,Yes,8.0
CS012,CS,Female,2,90,5,No,No,4,3,Yes,8.9
CS013,IT,Male,4,66,2,Yes,Yes,20,9,No,6.3
CS014,CS,Female,3,79,3,No,No,9,5,Yes,7.5
CS015,IT,Male,2,87,4,No,No,6,4,Yes,8.4





















































































































































































































































