"Timestamp","Age Group","Gender","Occupation","Mode of Daily Travel","Travel Frequency","Rate the condition of roads in your locality.","How frequently do you encounter potholes?","Have bad roads caused delays in your travel?","To what extent do you feel unsafe while traveling due to road conditions?","Have you experienced vehicle damage due to potholes?","How satisfied are you with the speed of road repairs in your area?","Do you think road repairs are done with good quality?","How often do roads get waterlogged in your area?","Does waterlogging worsen road quality?","Are authorities transparent about road repair timelines?","Should contractors be held more accountable for poor road quality?","How effective are complaint portals for reporting road issues?","Do you think road quality will improve if durable materials and modern construction techniques are used?"
"2025/11/19 9:48:26 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","Daily","Very Poor","Very Frequently","Yes, very often","Neutral","No","Very Dissatisfied","Disagree","Rarely","Agree","Not Transparent","Neutral","Ineffective","Yes"
"2025/11/19 9:49:09 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Average","Frequently","Rarely","Neutral","No","Dissatisfied","Disagree","Frequently","Agree","Not Transparent","Agree","Neutral","Yes"
"2025/11/19 9:49:50 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","Daily","Good","Sometimes","Sometimes","Unsafe","No","Neutral","Agree","Sometimes","Agree","Neutral","Agree","Effective","Yes"
"2025/11/19 9:50:49 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Poor","Frequently","Sometimes","Unsafe","Maybe","Dissatisfied","Neutral","Frequently","Neutral","Neutral","Agree","Neutral","Yes"
"2025/11/19 9:54:12 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","Daily","Average","Frequently","Sometimes","Neutral","Maybe","Dissatisfied","Strongly Disagree","Frequently","Agree","Not Transparent","Agree","Very Ineffective","Yes"
"2025/11/19 9:55:49 PM GMT+5:30","18 - 25 years","Female","Student","Auto-rickshaw","Daily","Very Poor","Very Frequently","Sometimes","Neutral","No","Dissatisfied","Disagree","Very Frequently","Strongly Disagree","Not Transparent","Neutral","Ineffective","Yes"
"2025/11/19 10:03:55 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Average","Sometimes","Sometimes","Unsafe","Yes","Neutral","Neutral","Very Frequently","Neutral","Neutral","Neutral","Neutral","Yes"
"2025/11/19 10:07:24 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Average","Frequently","Yes, very often","Neutral","Yes","Neutral","Neutral","Sometimes","Agree","Neutral","Neutral","Neutral","Yes"
"2025/11/19 10:48:51 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Average","Sometimes","Sometimes","Unsafe","Yes","Dissatisfied","Disagree","Frequently","Agree","Neutral","Agree","Effective","Yes"
"2025/11/19 10:56:36 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","Daily","Very Good","Sometimes","Yes, very often","Unsafe","Yes","Satisfied","Disagree","Frequently","Agree","Neutral","Neutral","Effective","Yes"
"2025/11/20 12:13:05 AM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Average","Frequently","Sometimes","Neutral","Yes","Dissatisfied","Neutral","Frequently","Agree","Not Transparent","Neutral","Neutral","Yes"
"2025/11/20 7:47:33 AM GMT+5:30","18 - 25 years","Female","Working Professional","Public Transport (Bus/Train/Metro)","Daily","Good","Frequently","Sometimes","Neutral","No","Satisfied","Agree","Frequently","Agree","Somewhat Transparent","Agree","Effective","Yes"
"2025/11/20 8:56:11 AM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","Daily","Average","Frequently","Yes, very often","Unsafe","Yes","Very Satisfied","Agree","Frequently","Agree","Somewhat Transparent","Strongly Agree","Effective","Yes"
"2025/11/20 10:17:02 AM GMT+5:30","36 - 45 years","Female","Homemaker / Retried","Auto-rickshaw","Rarely","Average","Frequently","Sometimes","Neutral","Maybe","Dissatisfied","Disagree","Sometimes","Strongly Agree","Not Transparent","Agree","Neutral","Yes"
"2025/11/20 10:31:48 AM GMT+5:30","18 - 25 years","Female","Working Professional","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Good","Frequently","Yes, very often","Neutral","Yes","Neutral","Disagree","Frequently","Agree","Somewhat Transparent","Agree","Neutral","Yes"
"2025/11/20 2:19:54 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","Daily","Good","Sometimes","Sometimes","Safe","No","Neutral","Agree","Frequently","Agree","Somewhat Transparent","Neutral","Neutral","Yes"
"2025/11/20 5:53:20 PM GMT+5:30","18 - 25 years","Female","Student","Public Transport (Bus/Train/Metro)","3 - 5 days a week","Poor","Frequently","Sometimes","Unsafe","Yes","Dissatisfied","Disagree","Frequently","Agree","Neutral","Neutral","Neutral","Yes"
"2025/11/21 3:16:45 PM GMT+5:30","18 - 25 years","Female","Student","Two-wheeler","3 - 5 days a week","Good","Sometimes","Rarely","Neutral","Yes","Neutral","Disagree","Sometimes","Strongly Agree","Not Transparent","Strongly Agree","Neutral","Yes"
"2025/11/21 10:31:21 PM GMT+5:30","26 - 35 years","Male","Working Professional","Car","Daily","Very Poor","Very Frequently","Yes, very often","Very Unsafe","Yes","Very Dissatisfied","Strongly Disagree","Very Frequently","Strongly Agree","Not Transparent","Strongly Agree","Very Ineffective","Yes"
